Gender	Age	White	Black	Asian	Latino
Female	61	0.0061	0.0011	0.0005	0.0009
Female	62	0.0061	0.0010	0.0005	0.0009
Female	63	0.0059	0.0010	0.0004	0.0008
Female	64	0.0058	0.0009	0.0004	0.0008
Female	65	0.0056	0.0009	0.0004	0.0007
Female	66	0.0054	0.0008	0.0004	0.0007
Female	67	0.0053	0.0008	0.0004	0.0007
Female	68	0.0052	0.0008	0.0004	0.0006
Female	69	0.0052	0.0007	0.0003	0.0006
Female	70	0.0055	0.0007	0.0003	0.0006
Female	71	0.0040	0.0005	0.0003	0.0005
Female	72	0.0039	0.0005	0.0003	0.0005
Female	73	0.0039	0.0005	0.0002	0.0004
Female	74	0.0040	0.0005	0.0002	0.0004
Female	75	0.0035	0.0004	0.0002	0.0004
Female	76	0.0032	0.0004	0.0002	0.0004
Female	77	0.0030	0.0004	0.0002	0.0003
Female	78	0.0028	0.0003	0.0002	0.0003
Female	79	0.0027	0.0003	0.0002	0.0003
Female	80	0.0024	0.0003	0.0001	0.0003
Female	81	0.0023	0.0003	0.0001	0.0003
Female	82	0.0022	0.0003	0.0001	0.0002
Female	83	0.0020	0.0002	0.0001	0.0002
Female	84	0.0019	0.0002	0.0001	0.0002
Female	85	0.0018	0.0002	0.0001	0.0002
